index_grid,intercept,log_assets,liabilities_assets,roa,net_margin,cash_assets,receivables_assets,inventory_assets,current_ratio,debt_assets,revenue_growth,assets_growth,gross_margin,working_capital_assets,asset_quality_proxy,receivables_revenue,debt_equity,loss_flag,dsri_proxy,gmi_proxy,sgi,lvgi,debt_assets_change,roa_change,gross_margin_change,receivables_growth,inventory_growth,debt_growth,total_accruals_assets_proxy
-3.0,2.3925805,2.2081409,-0.9376446,0.32524687,0.5072891,-1.1349913,2.5300639,0.5967922,-4.24976,-0.26283965,2.7566383,-1.9465436,-1.6015399,1.0844426,-1.6074107,-0.7056339,1.6581914,0.32005495,-0.80142015,2.0073953,0.5634566,-0.65596974,1.3668065,-0.5298336,-2.4123187,0.054097675,0.4895904,1.4153978,0.8916855
-2.95,2.3330402,2.1545367,-0.9231093,0.345329,0.5131313,-1.108158,2.441091,0.58798903,-4.1077466,-0.2604172,2.6446242,-1.8975412,-1.5315205,1.0641248,-1.5543554,-0.66595584,1.573739,0.29478887,-0.7591225,1.9255756,0.5298115,-0.65538514,1.3243204,-0.52086574,-2.3075483,0.041450236,0.45900518,1.3654374,0.884099
-2.9,2.274335,2.1015356,-0.90842444,0.36417976,0.51827914,-1.0814335,2.3542564,0.5786931,-3.9685147,-0.25781035,2.5358305,-1.8492682,-1.4640595,1.0438737,-1.5025753,-0.6278243,1.4923645,0.27081633,-0.71790594,1.8460153,0.49700937,-0.65438867,1.2824965,-0.5122061,-2.205679,0.029588472,0.42968765,1.3165325,0.8761205
-2.85,2.2164648,2.0491464,-0.89360446,0.38182873,0.522754,-1.054829,2.2695334,0.5689281,-3.8320482,-0.2550292,2.4302065,-1.801727,-1.3991065,1.0236983,-1.4520518,-0.59121007,1.4140118,0.24810775,-0.67775935,1.7686812,0.46504295,-0.65299433,1.2413359,-0.50384694,-2.1066701,0.018489119,0.40161252,1.2686741,0.8677666
-2.8,2.159431,1.9973799,-0.878664,0.39830476,0.5265773,-1.028356,2.186897,0.5587179,-3.698333,-0.2520839,2.3277047,-1.7549202,-1.3366126,1.0036083,-1.4027672,-0.5560848,1.3386265,0.226634,-0.6386723,1.6935415,0.43390542,-0.65121573,1.2008405,-0.49578094,-2.0104823,0.008129377,0.37475508,1.2218537,0.8590544
-2.75,2.1032343,1.946245,-0.8636176,0.41363767,0.52977103,-1.0020255,2.1063206,0.54808587,-3.5673535,-0.24898478,2.2282743,-1.7088498,-1.2765269,0.983613,-1.354703,-0.52241915,1.2661524,0.20636547,-0.6006337,1.6205631,0.40358952,-0.64906657,1.1610113,-0.48800024,-1.9170741,-0.0015140806,0.34908995,1.176062,0.8500003
-2.7,2.0478752,1.8957517,-0.8484796,0.42785645,0.53235644,-0.97584885,2.0277781,0.5370558,-3.4390943,-0.2457419,2.1318662,-1.6635176,-1.2188002,0.96372163,-1.3078406,-0.49018437,1.196534,0.18727274,-0.5636328,1.5497139,0.3740882,-0.6465608,1.12185,-0.4804974,-1.8264058,-0.010464285,0.32459217,1.1312901,0.84062123
-2.65,1.9933543,1.8459092,-0.83326465,0.44099066,0.5343555,-0.94983745,1.9512432,0.5256512,-3.3135395,-0.24236548,2.0384307,-1.6189264,-1.163382,0.94394344,-1.2621619,-0.4593513,1.1297157,0.16932632,-0.5276586,1.4809607,0.34539413,-0.6437118,1.0833578,-0.47326463,-1.7384362,-0.018744385,0.3012364,1.0875287,0.8309339
-2.6,1.9396721,1.7967273,-0.81798714,0.45306933,0.5357894,-0.9240025,1.8766896,0.51389575,-3.1906736,-0.23886564,1.9479177,-1.5750777,-1.1102226,0.92428786,-1.2176484,-0.4298911,1.0656419,0.15249687,-0.49270013,1.414271,0.31750023,-0.6405335,1.0455359,-0.46629444,-1.653125,-0.02637747,0.27899763,1.0447689,0.820955
-2.55,1.8868302,1.7482159,-0.8026618,0.4641222,0.5366802,-0.8983555,1.8040916,0.5018131,-3.0704823,-0.23525266,1.8602788,-1.5319742,-1.059272,0.9047643,-1.1742822,-0.40177503,1.0042574,0.13675489,-0.45874688,1.3496127,0.2903996,-0.63703966,1.0083861,-0.4595792,-1.5704323,-0.033386577,0.25785083,1.003002,0.81070155
-2.5,1.8348285,1.7003843,-0.7873031,0.47417825,0.5370492,-0.8729075,1.7334232,0.48942703,-2.9529498,-0.23153666,1.775464,-1.4896182,-1.0104806,0.88538206,-1.1320447,-0.37497407,0.94550663,0.122071035,-0.42578793,1.2869531,0.26408502,-0.6332439,0.9719096,-0.45311123,-1.4903176,-0.03979485,0.23777086,0.962219,0.8001899
-2.45,1.783668,1.6532423,-0.7719254,0.48326698,0.53691816,-0.84767,1.664658,0.4767609,-2.8380601,-0.22772782,1.6934237,-1.4480116,-0.96379817,0.8661504,-1.0909177,-0.34945923,0.88933384,0.108415745,-0.39381227,1.2262592,0.23854923,-0.62916005,0.9361075,-0.446883,-1.4127401,-0.045625445,0.2187326,0.9224106,0.7894371
