index_feature,alpha_weight,abs_alpha_weight
loss_flag,0.4450325,0.4450325
negative_equity_flag,-0.3729316,0.3729316
sic2_38,-0.30247504,0.30247504
asset_quality_proxy,-0.21559428,0.21559428
sic2_51,-0.19542535,0.19542535
cash_assets,-0.18614474,0.18614474
current_ratio,-0.16799363,0.16799363
sic2_23,-0.16610818,0.16610818
sic2_35,0.15600052,0.15600052
receivables_assets,0.14012305,0.14012305
inventory,-0.13932586,0.13932586
sic2_32,0.13714658,0.13714658
sic2_34,-0.1362963,0.1362963
inventory_growth,0.1334057,0.1334057
gross_margin,-0.13018785,0.13018785
assets,0.117606536,0.117606536
sic2_87,-0.11028452,0.11028452
debt_equity,0.1064175,0.1064175
sic2_12,-0.10055744,0.10055744
sic2_28,0.09941637,0.09941637
revenue,0.09938167,0.09938167
sic2_33,0.09386308,0.09386308
sic2_31,0.09337039,0.09337039
sic2_56,0.091816805,0.091816805
sic2_70,-0.09103592,0.09103592
equity,-0.08749092,0.08749092
cash,-0.086874686,0.086874686
sic2_13,-0.08518273,0.08518273
sic2_60,0.08508893,0.08508893
sgi,0.084756255,0.084756255
roa_change,-0.08372445,0.08372445
sic2_39,-0.08347159,0.08347159
sic2_16,-0.08285168,0.08285168
gross_margin_change,-0.08031255,0.08031255
revenue_growth,0.07952774,0.07952774
current_assets,-0.0741054,0.0741054
sic2_62,-0.07211542,0.07211542
lvgi,0.06863717,0.06863717
sic2_82,0.068425156,0.068425156
sic2_30,-0.06596167,0.06596167
receivables,-0.065358974,0.065358974
net_income,0.05456163,0.05456163
sic2_infrequent_sklearn,0.052981075,0.052981075
liabilities,-0.04991868,0.04991868
sic2_44,0.04970471,0.04970471
sic2_2,0.04907358,0.04907358
sic2_64,-0.04881978,0.04881978
sic2_10,0.048563547,0.048563547
dsri_proxy,0.048144862,0.048144862
aqi_proxy,0.047403198,0.047403198
sic2_7,0.047232118,0.047232118
sic2_24,-0.046140112,0.046140112
debt_assets_change,0.045176957,0.045176957
sic2_76,0.04289207,0.04289207
sic2_61,-0.041825414,0.041825414
total_accruals_assets_proxy,-0.03942421,0.03942421
assets_growth,-0.039301265,0.039301265
log_assets,0.03841216,0.03841216
debt_assets,-0.03763172,0.03763172
sic2_72,-0.03596822,0.03596822
sic2_83,-0.03535139,0.03535139
sic2_63,0.03353659,0.03353659
sic2_54,-0.033076376,0.033076376
sic2_65,0.032188926,0.032188926
sic2_80,0.031257298,0.031257298
sic2_79,0.030954273,0.030954273
roa,-0.030582272,0.030582272
sic2_45,-0.030536784,0.030536784
debt_growth,0.029773865,0.029773865
receivables_growth,-0.027639301,0.027639301
sic2_67,-0.024757866,0.024757866
inventory_assets,0.023976652,0.023976652
gmi_proxy,0.023949891,0.023949891
sic2_55,0.023905009,0.023905009
net_margin,-0.023469104,0.023469104
sic2_57,-0.02337917,0.02337917
operating_margin,0.02288608,0.02288608
sic2_21,0.02098489,0.02098489
sic2_47,-0.020497622,0.020497622
sic2_37,0.020473234,0.020473234
sic2_25,0.02008849,0.02008849
sic2_73,0.019819574,0.019819574
sic2_59,0.019741835,0.019741835
debt,0.0196242,0.0196242
receivables_revenue,-0.019456021,0.019456021
inventory_revenue,0.018868871,0.018868871
sic2_40,-0.018863121,0.018863121
current_liabilities,0.01864168,0.01864168
sic2_48,0.017907802,0.017907802
sic2_15,-0.01653927,0.01653927
sic2_49,0.016446028,0.016446028
sic2_1,-0.015511194,0.015511194
sic2_17,0.015009318,0.015009318
sic2_22,0.013585843,0.013585843
sic2_20,0.010838056,0.010838056
sic2_26,0.009920766,0.009920766
sic2_14,-0.009450393,0.009450393
operating_income,-0.008827123,0.008827123
sic2_36,-0.008218873,0.008218873
sic2_29,0.006319188,0.006319188
sic2_42,0.0056608794,0.0056608794
sic2_50,-0.0055557406,0.0055557406
sic2_58,-0.0049598534,0.0049598534
sic2_9,-0.0033119402,0.0033119402
sic2_78,-0.0032728668,0.0032728668
sic2_46,-0.003253567,0.003253567
sic2_75,0.0026973032,0.0026973032
liabilities_assets,0.0020558198,0.0020558198
sic2_99,0.0018380545,0.0018380545
gross_profit,0.0017212137,0.0017212137
sic2_8,0.0014408628,0.0014408628
sic2_27,-0.0011875028,0.0011875028
sic2_52,-0.0008039375,0.0008039375
sic2_53,-0.00048107823,0.00048107823
working_capital_assets,2.8913064e-05,2.8913064e-05
