model,metric,point,ci_low,ci_high
LightGBM Teacher,ROC-AUC,0.7272022042376672,0.6544847854066624,0.7993331567649496
LightGBM Teacher,PR-AUC,0.03153327291163733,0.003198015694522658,0.09635549402326937
LightGBM Teacher,Top-5% Recall,0.2,0.07317073170731707,0.3262681159420288
LightGBM Teacher,Top-5% Lift,4.001462225832657,1.4639495948168255,6.527747707178089
VC Student (validation-selected),ROC-AUC,0.7191498230916263,0.6428124553388824,0.7992262881945262
VC Student (validation-selected),PR-AUC,0.00517071676007465,0.0029953456669978254,0.010577835152039911
VC Student (validation-selected),Top-5% Recall,0.2,0.08506205673758865,0.34093899521531096
VC Student (validation-selected),Top-5% Lift,4.001462225832657,1.701863034435476,6.821272553337039
AI-guided VC Student,ROC-AUC,0.728151815852617,0.6549487132492062,0.805749370695845
AI-guided VC Student,PR-AUC,0.006355296754797342,0.0031643087117053208,0.014711202916515911
AI-guided VC Student,Top-5% Recall,0.25,0.125,0.3928841991341991
AI-guided VC Student,Top-5% Lift,5.00182778229082,2.5009138911454105,7.860556409810066
