index_feature,alpha_weight,abs_alpha_weight
loss_flag,0.44503242,0.44503242
negative_equity_flag,-0.3729318,0.3729318
sic2_38,-0.30247456,0.30247456
asset_quality_proxy,-0.21559493,0.21559493
sic2_51,-0.19542517,0.19542517
cash_assets,-0.18614441,0.18614441
current_ratio,-0.16799375,0.16799375
sic2_23,-0.16610838,0.16610838
sic2_35,0.15599987,0.15599987
receivables_assets,0.1401231,0.1401231
inventory,-0.13932575,0.13932575
sic2_32,0.13714646,0.13714646
sic2_34,-0.13629617,0.13629617
inventory_growth,0.13340582,0.13340582
gross_margin,-0.13018794,0.13018794
assets,0.11760663,0.11760663
sic2_87,-0.11028443,0.11028443
debt_equity,0.106417835,0.106417835
sic2_12,-0.10055745,0.10055745
sic2_28,0.099416725,0.099416725
revenue,0.09938153,0.09938153
sic2_33,0.09386291,0.09386291
sic2_31,0.09337033,0.09337033
sic2_56,0.09181704,0.09181704
sic2_70,-0.09103576,0.09103576
equity,-0.087491006,0.087491006
cash,-0.08687496,0.08687496
sic2_13,-0.08518269,0.08518269
sic2_60,0.085088946,0.085088946
sgi,0.08475637,0.08475637
roa_change,-0.08372452,0.08372452
sic2_39,-0.08347149,0.08347149
sic2_16,-0.08285157,0.08285157
gross_margin_change,-0.08031255,0.08031255
revenue_growth,0.079527825,0.079527825
current_assets,-0.07410578,0.07410578
sic2_62,-0.07211537,0.07211537
lvgi,0.06863714,0.06863714
sic2_82,0.06842515,0.06842515
sic2_30,-0.06596149,0.06596149
receivables,-0.06535882,0.06535882
net_income,0.05456224,0.05456224
sic2_infrequent_sklearn,0.05298097,0.05298097
liabilities,-0.049918845,0.049918845
sic2_44,0.049704675,0.049704675
sic2_2,0.049073502,0.049073502
sic2_64,-0.0488198,0.0488198
sic2_10,0.04856361,0.04856361
dsri_proxy,0.048144832,0.048144832
aqi_proxy,0.047403406,0.047403406
sic2_7,0.047232043,0.047232043
sic2_24,-0.04614003,0.04614003
debt_assets_change,0.04517698,0.04517698
sic2_76,0.042891998,0.042891998
sic2_61,-0.041825198,0.041825198
total_accruals_assets_proxy,-0.039424215,0.039424215
assets_growth,-0.039301235,0.039301235
log_assets,0.038412467,0.038412467
debt_assets,-0.03763173,0.03763173
sic2_72,-0.035968166,0.035968166
sic2_83,-0.035351343,0.035351343
sic2_63,0.03353677,0.03353677
sic2_54,-0.0330763,0.0330763
sic2_65,0.032188978,0.032188978
sic2_80,0.031257212,0.031257212
sic2_79,0.030954266,0.030954266
roa,-0.030582272,0.030582272
sic2_45,-0.030536829,0.030536829
debt_growth,0.029773867,0.029773867
receivables_growth,-0.027639326,0.027639326
sic2_67,-0.024758061,0.024758061
inventory_assets,0.023976676,0.023976676
gmi_proxy,0.023949904,0.023949904
sic2_55,0.023904938,0.023904938
net_margin,-0.023469144,0.023469144
sic2_57,-0.023379134,0.023379134
operating_margin,0.02288599,0.02288599
sic2_21,0.020984774,0.020984774
sic2_47,-0.02049754,0.02049754
sic2_37,0.020473033,0.020473033
sic2_25,0.020088417,0.020088417
sic2_73,0.019820029,0.019820029
sic2_59,0.019741677,0.019741677
debt,0.019624285,0.019624285
receivables_revenue,-0.019455906,0.019455906
inventory_revenue,0.018868878,0.018868878
sic2_40,-0.018863086,0.018863086
current_liabilities,0.018641235,0.018641235
sic2_48,0.017907938,0.017907938
sic2_15,-0.016539197,0.016539197
sic2_49,0.01644604,0.01644604
sic2_1,-0.015511136,0.015511136
sic2_17,0.015009224,0.015009224
sic2_22,0.01358575,0.01358575
sic2_20,0.010838391,0.010838391
sic2_26,0.009920778,0.009920778
sic2_14,-0.009450318,0.009450318
operating_income,-0.008826431,0.008826431
sic2_36,-0.008218845,0.008218845
sic2_29,0.0063192733,0.0063192733
sic2_42,0.005660937,0.005660937
sic2_50,-0.0055558267,0.0055558267
sic2_58,-0.0049598706,0.0049598706
sic2_9,-0.003311898,0.003311898
sic2_78,-0.0032727963,0.0032727963
sic2_46,-0.0032535482,0.0032535482
sic2_75,0.002697346,0.002697346
liabilities_assets,0.0020558087,0.0020558087
sic2_99,0.0018380265,0.0018380265
gross_profit,0.0017208296,0.0017208296
sic2_8,0.001440884,0.001440884
sic2_27,-0.001187548,0.001187548
sic2_52,-0.0008038993,0.0008038993
sic2_53,-0.000481163,0.000481163
working_capital_assets,2.8861936e-05,2.8861936e-05
