model,screening_rule,selected_n,true_positives_found,precision,recall,lift_over_random
Logistic Regression,Top-K=positives,40,0,0.0,0.0,0.0
Logistic Regression,Top 1%,246,0,0.0,0.0,0.0
Logistic Regression,Top 5%,1231,7,0.005686433793663688,0.175,3.5012794476035745
Logistic Regression,Top 10%,2463,10,0.004060089321965083,0.25,2.499898497766951
Logistic Regression,Top 100,100,0,0.0,0.0,0.0
Logistic Regression,Top 250,250,0,0.0,0.0,0.0
Logistic Regression,Top 500,500,3,0.006,0.075,3.6943500000000005
Random Forest,Top-K=positives,40,0,0.0,0.0,0.0
Random Forest,Top 1%,246,1,0.0040650406504065045,0.025,2.502947154471545
Random Forest,Top 5%,1231,2,0.0016246953696181965,0.05,1.0003655564581642
Random Forest,Top 10%,2463,6,0.00243605359317905,0.15,1.4999390986601706
Random Forest,Top 100,100,1,0.01,0.025,6.15725
Random Forest,Top 250,250,1,0.004,0.025,2.4629000000000003
Random Forest,Top 500,500,1,0.002,0.025,1.2314500000000002
Extra Trees,Top-K=positives,40,0,0.0,0.0,0.0
Extra Trees,Top 1%,246,1,0.0040650406504065045,0.025,2.502947154471545
Extra Trees,Top 5%,1231,4,0.003249390739236393,0.1,2.0007311129163283
Extra Trees,Top 10%,2463,5,0.0020300446609825416,0.125,1.2499492488834756
Extra Trees,Top 100,100,0,0.0,0.0,0.0
Extra Trees,Top 250,250,1,0.004,0.025,2.4629000000000003
Extra Trees,Top 500,500,2,0.004,0.05,2.4629000000000003
LightGBM,Top-K=positives,40,1,0.025,0.025,15.393125000000001
LightGBM,Top 1%,246,2,0.008130081300813009,0.05,5.00589430894309
LightGBM,Top 5%,1231,6,0.00487408610885459,0.15,3.0010966693744927
LightGBM,Top 10%,2463,8,0.0032480714575720666,0.2,1.9999187982135609
LightGBM,Top 100,100,1,0.01,0.025,6.15725
LightGBM,Top 250,250,2,0.008,0.05,4.925800000000001
LightGBM,Top 500,500,4,0.008,0.1,4.925800000000001
